SPECTRUM - MS,
VI-143.raw,
FTMS + p ESI Full ms [200.00-3000.00],
Scan #: 17-31,
RT: 0.30-0.56,
AV: 15,
SB: 19  0.01-0.34 ,
Data points: 67852,
Mass,Intensity
201.745404,0
201.745945,0
201.746487,3.287949
201.747028,7.69672
201.747569,9.418779
201.74811,9.671778
201.748651,9.058395
201.749192,7.648259
201.749733,3.215632
201.750274,0
201.750816,0
201.751357,0
201.751898,0
201.849338,0
201.84988,0
201.850421,0
201.850963,0
201.851504,15.662226
201.852046,34.059945
201.852588,41.636921
201.853129,42.294587
201.853671,37.657864
201.854212,15.085933
201.854754,0.0002
201.855295,2.60471
201.855837,8.492806
201.856378,11.574668
201.85692,12.175001
201.857462,10.000472
201.858003,4.873399
201.858545,0
201.859086,0
201.859628,0
201.860169,0
201.932218,0
201.93276,0
201.933302,0
201.933844,0
201.934386,24.773835
201.934928,45.665452
201.935469,55.472191
201.936011,46.389018
201.936553,25.256163
201.937095,0.262298
201.937637,0.000004
201.938179,0
201.938721,0
201.939263,0
201.939805,0
202.122005,0
202.122547,0
202.12309,0
202.123633,0
202.124175,16.091615
202.124718,225.902444
202.125261,600.881301
202.125803,891.801245
202.126346,880.343238
202.126889,586.795539
202.127431,236.596287
202.127974,59.818673
202.128517,5.938412
202.129059,0.00009
202.129602,0
202.130144,0
202.130687,0
202.13123,0
202.13937,0
202.139913,0
202.140455,0
202.140998,0
202.141541,24.422842
202.142084,0
202.142626,0
202.143169,0
202.143712,0
202.165422,0
202.165965,0
202.166508,0
202.167051,0
202.167593,24.817909
202.168136,44.27971
202.168679,54.986065
202.169222,50.305174
202.169765,34.744657
202.170307,0.415742
202.17085,0.000006
202.171393,0
202.171936,0
202.172479,0
202.173022,0
202.173564,0
202.174107,0
202.17465,0
202.175193,0
202.175736,3.637491
202.176279,7.888058
202.176822,9.340666
202.177364,9.384458
202.177907,48.627436
202.17845,2.786206
202.178993,0
202.179536,0
202.180079,0
202.180622,0
202.234919,0
202.235462,0
202.236005,0
202.236548,0
202.237091,3.446672
202.237634,7.69918
202.238178,9.236548
202.238721,9.026201
202.239264,6.63357
202.239807,2.389612
202.24035,0
202.240893,0
202.241436,0
202.241979,0
202.243066,0
202.243609,0
202.244152,0
202.244695,0
202.245238,9.155458
202.245781,35.104659
202.246324,49.614307
202.246867,41.921294
202.247411,21.499941
202.247954,3.865891
202.248497,0.000062
202.24904,0
202.249583,0
202.250126,0
202.250669,0
202.3887,0
202.389243,0
202.389787,0
202.390331,0
202.390874,2.523769
202.391418,7.764778
202.391962,9.428421
202.392506,9.06039
202.393049,7.092112
202.393593,3.38784
202.394137,0
202.39468,0
202.395224,0
202.395768,0
202.498028,0
202.498572,0
202.499117,0
202.499661,0
202.500205,34.210264
202.500749,45.240302
202.501293,51.319127
202.501837,45.583219
202.502382,27.703064
202.502926,0.451174
202.50347,0.000008
202.504014,0
202.504558,0
202.505102,0
202.505647,0
202.548643,0
202.549188,0
202.549732,0
202.550276,0
202.550821,2.614905
202.551365,7.08902
202.551909,9.585271
202.552454,9.19144
202.552998,6.952515
202.553542,2.711099
202.554087,0
202.554631,0
202.555176,0
202.55572,0
202.901842,0
202.902388,0
202.902934,0
202.90348,0
202.904025,18.239875
202.904571,39.995569
202.905117,49.401998
202.905663,43.600781
202.906209,26.25056
202.906754,6.815447
202.9073,0.000141
202.907846,0
202.908392,0
202.908938,0
202.909483,0
202.911121,0
202.911667,0
202.912212,0
202.912758,0
202.913304,8.514834
202.91385,29.269061
202.914396,41.684587
202.914942,43.026241
202.915487,36.621956
202.916033,19.573395
202.916579,0.000406
202.917125,0
202.917671,0
202.918217,0
202.918762,0
203.0848,0
203.085346,0
203.085893,0
203.08644,0
203.086986,18.50294
203.087533,38.626187
203.088079,44.325984
203.088626,43.233429
203.089172,40.685763
203.089719,41.574797
203.090265,43.778941
203.090812,40.835324
203.091358,16.574981
203.091905,0.000364
203.092451,0
203.092998,0
203.093544,0
203.094091,0
203.123608,0
203.124154,0
203.124701,0
203.125248,0
203.125795,1.858354
203.126341,0
203.126888,0
203.127435,0
203.127981,0
203.128528,0
203.129075,0
203.129621,3.699696
203.130168,0
203.130715,0
203.131261,0
203.131808,0
203.134542,0
203.135088,0
203.135635,0
203.136182,0
203.136728,14.233266
203.137275,33.590352
203.137822,44.218195
203.138369,45.98928
203.138915,38.520597
203.139462,14.699909
203.140009,0.000328
203.140556,0
203.141102,0
203.141649,0
203.142196,0
203.361617,0
203.362165,0
203.362713,0
203.36326,0
203.363808,26.339562
203.364356,37.938903
203.364903,43.312763
203.365451,43.76912
203.365998,35.49328
203.366546,3.012912
203.367094,0.000072
203.367641,0
203.368189,0
203.368737,0
203.369284,0
203.475572,0
203.47612,0
203.476668,0
203.477216,0
203.477764,15.196046
203.478313,34.666954
203.478861,42.171743
203.479409,41.737342
203.479957,36.092594
203.480505,15.140598
203.481053,0.000374
203.481601,0
203.482149,0
203.482697,0
203.483246,0
203.517782,0
203.51833,0
203.518878,0
203.519426,0
203.519975,19.075368
203.520523,42.799908
203.521071,59.315808
203.521619,61.502908
203.522168,49.522028
203.522716,30.795636
203.523264,6.335464
203.523813,0.000158
203.524361,0
203.524909,0
203.525457,0
203.526006,0
203.826803,0
203.827353,0
203.827902,0
203.828452,0
203.829002,14.273224
203.829551,34.561422
203.830101,46.324179
203.83065,47.656249
203.8312,41.268746
203.831749,28.418727
203.832299,6.105338
203.832848,0.000166
203.833398,0
203.833947,0
203.834497,0
203.835046,0
203.849335,0
203.849885,0
203.850434,0
203.850984,0
203.851534,40.3162
203.852083,46.868217
203.852633,51.026214
203.853182,55.972928
203.853732,53.135679
203.854282,39.538481
203.854831,0.79272
203.855381,0.000022
203.855931,0
203.85648,0
203.85703,0
203.857579,0
203.913104,0
203.913654,0
203.914204,0
203.914753,0
203.915303,34.016823
203.915853,51.972034
203.916403,57.453355
203.916953,49.64776
203.917503,33.616084
203.918053,0.760693
203.918602,0.000021
203.919152,0
203.919702,0
203.920252,0
203.920802,0
203.943899,0
203.944449,0
203.944999,0
203.945549,0
203.946099,17.796529
203.946649,37.223306
203.947199,43.637662
203.947749,43.961208
203.948299,37.350193
203.948849,15.192983
203.949399,0.000425
203.949949,0
203.950499,0
203.951049,0
203.951599,0
204.042382,0
204.042932,0
204.043483,0
204.044033,0
204.044583,16.764626
204.045134,39.878496
204.045684,48.000639
204.046235,40.292852
204.046785,25.187509
204.047335,2.113096
204.047886,0.000061
204.048436,0
204.048987,0
204.049537,31.743001
204.050087,45.385749
204.050638,52.132374
204.051188,44.106446
204.051739,23.371264
204.052289,0.480791
204.05284,0.000014
204.05339,0
204.05394,0
204.054491,13.458307
204.055041,35.080859
204.055592,47.345155
204.056142,42.974231
204.056693,25.906288
204.057243,6.696853
204.057793,0.000192
204.058344,0
204.058894,0
204.059445,0
204.059995,0
204.122211,0
204.122761,0
204.123312,0
204.123863,0
204.124413,20.579069
204.124964,32.154401
204.125515,12.588313
204.126066,0.000368
204.126616,0
204.127167,0
204.127718,0
204.128269,0
204.155257,0
204.155808,0
204.156359,0
204.156909,0
204.15746,1.890964
204.158011,50.707323
204.158562,129.668101
204.159113,202.427032
