Ac,227.027746979
Ag,106.90509302
Al,26.981538441
Am,243.061372686
Ar,39.962383123
As,73.923929076
At,210.987480806
Au,196.966551609
B,11.009305466
Ba,137.905241273
Be,9.012182135
Bh,264.12473
Bi,208.980383241
Bk,247.070298533
Br,78.918337647
C,12.0
Ca,39.962591155
Cd,113.903358121
Ce,139.905434035
Cf,251.079580056
Cl,34.968852707
Cm,250.078350687
Co,58.933200194
Cr,51.940511904
Cs,133.906713419
Cu,62.929601079
Db,262.114153
Dy,163.929171165
Er,165.93028997
Es,254.088016026
Eu,152.921226219
F,18.998403205
Fe,55.934942133
Fm,257.095098635
Fr,223.019730712
Ga,68.925580912
Gd,157.924100533
Ge,73.921178213
H,1.007825032
He,4.00260325
Hf,179.94654876
Hg,201.970625604
Ho,164.930319169
Hs,269.134114
I,126.90446842
In,114.903878328
Ir,192.9629237
K,38.963706861
Kr,83.911506627
La,138.90634816
Li,7.016004049
Lr,256.098763
Lu,174.940767904
Md,257.095534643
Mg,23.985041898
Mn,54.938049636
Mo,97.905407846
Mt,268.138816
N,14.003074005
Na,22.990963332
Nb,92.906377543
Nd,141.907718643
Ne,19.992440176
Ni,57.935347922
No,255.093232449
Np,237.048167253
O,15.994914622
Os,191.961479047
P,30.973761512
Pa,230.034532562
Pb,207.97663585
Pd,105.903483087
Pm,144.912743879
Po,209.982857396
Pr,140.907647726
Pt,194.964774449
Pu,244.06419765
Ra,228.031064101
Rb,84.911789341
Re,186.955750787
Rf,261.108752
Rh,102.905504182
Rn,222.017570472
Ru,101.904349503
S,31.97207069
Sb,120.903818044
Sc,44.955910243
Se,79.916521828
Sg,266.121928
Si,27.976926533
Sm,151.919728244
Sn,119.902196571
Sr,87.905614339
Ta,180.947996346
Tb,158.925343135
Tc,98.906254554
Te,129.906222753
Th,232.03805036
Ti,47.947947053
Tl,204.97441227
Tm,168.934211117
U,238.050782583
V,50.943963675
W,183.950932553
Xa,271.146078
Xb,272.153477
Xe,131.904154457
Y,88.905847902
Yb,173.938858101
Zn,63.929146578
Zr,89.904703679
